date,symbol,open,high,low,close,volume,company,sector,adjusted_close
2026-01-05,AAPL,248.20,251.10,247.35,250.80,48200000,Apple Inc.,Technology,250.80
2026-01-06,AAPL,250.95,253.40,249.80,252.75,51700000,Apple Inc.,Technology,252.75
2026-01-07,AAPL,252.60,254.15,250.90,251.45,46300000,Apple Inc.,Technology,251.45
2026-01-08,AAPL,251.70,255.25,251.20,254.90,53900000,Apple Inc.,Technology,254.90
2026-01-09,AAPL,255.10,257.80,253.85,256.95,60100000,Apple Inc.,Technology,256.95
2026-01-05,MSFT,472.50,476.80,470.95,475.60,22100000,Microsoft Corporation,Technology,475.60
2026-01-06,MSFT,475.85,479.20,474.10,478.35,23600000,Microsoft Corporation,Technology,478.35
2026-01-07,MSFT,478.10,480.45,473.75,474.90,24900000,Microsoft Corporation,Technology,474.90
2026-01-08,MSFT,475.25,479.75,474.60,478.90,21400000,Microsoft Corporation,Technology,478.90
2026-01-09,MSFT,479.40,483.10,478.55,482.65,26700000,Microsoft Corporation,Technology,482.65
